number,caller_id,opened_by,contact_type,location,category,subcategory,u_symptom,impact,urgency,priority,assignment_group,assigned_to,u_priority_confirmation,duracion_horas
INC0000077,Caller 3304,Opened by  180,Phone,Location 108,Category 32,Subcategory 9,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.6166666666666667
INC0000088,Caller 388,Opened by  180,Phone,Location 93,Category 42,Subcategory 224,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.2833333333333333
INC0000101,Caller 1892,Opened by  180,Phone,Location 143,Category 55,Subcategory 170,Symptom 273,2 - Medium,3 - Low,4 - Low,Group 65,Resolver 180,False,1.9166666666666667
INC0000192,Caller 1590,Opened by  131,Phone,Location 143,Category 45,Subcategory 200,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.06666666666666667
INC0000167,Caller 649,Opened by  24,Phone,Location 108,Category 20,Subcategory 125,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,0.5833333333333334
INC0000137,Caller 899,Opened by  24,Phone,Location 51,Category 32,Subcategory 9,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,1.25
INC0000124,Caller 4907,Opened by  40,Phone,Location 108,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 159,False,1.5833333333333333
INC0000194,Caller 4323,Opened by  180,Phone,Location 93,Category 42,Subcategory 224,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.2
INC0000079,Caller 2471,Opened by  180,Phone,Location 204,Category 55,Subcategory 170,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 65,Resolver 180,False,2.8
INC0000045,Caller 2403,Opened by  8,Phone,Location 143,Category 55,Subcategory 170,Symptom 72,2 - Medium,2 - Medium,3 - Moderate,Group 56,No asignado,False,10.216666666666667
INC0000178,Caller 1245,Opened by  180,Phone,Location 54,Category 20,Subcategory 103,Symptom 605,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,1.1666666666666667
INC0000105,Caller 2949,Opened by  180,Phone,Location 93,Category 45,Subcategory 223,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 55,No asignado,False,2.8
INC0000213,Caller 3459,Opened by  40,Phone,Location 2,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,1.4666666666666666
INC0000236,Caller 3640,Opened by  131,Phone,Location 108,Category 45,Subcategory 223,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.8333333333333334
INC0000218,Caller 1969,Opened by  180,Phone,Location 93,Category 9,Subcategory 164,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 23,No asignado,False,1.7166666666666666
